Date,Total_Assets,FCA,Notes_Circulation,Deposits,Liabilities,Source
2022-02-04,4001400,68054500,205450,487200,4001400,SYNTHETIC
2022-02-11,4006000,68055000,205500,488000,4006000,SYNTHETIC
2022-02-18,4010600,68055500,205550,488800,4010600,SYNTHETIC
2022-02-25,4015200,68056000,205600,489600,4015200,SYNTHETIC
2022-03-04,4019800,68056500,205650,490400,4019800,SYNTHETIC
2022-03-11,4024400,68057000,205700,491200,4024400,SYNTHETIC
2022-03-18,4029000,68057500,205750,492000,4029000,SYNTHETIC
2022-03-25,4033600,68058000,205800,492800,4033600,SYNTHETIC
2022-04-01,4038200,68058500,205850,493600,4038200,SYNTHETIC
2022-04-08,4042800,68059000,205900,494400,4042800,SYNTHETIC
2022-04-15,4047400,68059500,205950,495200,4047400,SYNTHETIC
2022-04-22,4052000,68060000,206000,496000,4052000,SYNTHETIC
2022-04-29,4056600,68060500,206050,496800,4056600,SYNTHETIC
2022-05-06,4061200,68061000,206100,497600,4061200,SYNTHETIC
2022-05-13,4065800,68061500,206150,498400,4065800,SYNTHETIC
2022-05-20,4070400,68062000,206200,499200,4070400,SYNTHETIC
2022-05-27,4075000,68062500,206250,500000,4075000,SYNTHETIC
2022-06-03,4079600,68063000,206300,500800,4079600,SYNTHETIC
2022-06-10,4084200,68063500,206350,501600,4084200,SYNTHETIC
2022-06-17,4088800,68064000,206400,502400,4088800,SYNTHETIC
2022-06-24,4093400,68064500,206450,503200,4093400,SYNTHETIC
2022-07-01,4098000,68065000,206500,504000,4098000,SYNTHETIC
2022-07-08,4102600,68065500,206550,504800,4102600,SYNTHETIC
2022-07-15,4107200,68066000,206600,505600,4107200,SYNTHETIC
2022-07-22,4111800,68066500,206650,506400,4111800,SYNTHETIC
2022-07-29,4116400,68067000,206700,507200,4116400,SYNTHETIC
2022-08-05,4121000,68067500,206750,508000,4121000,SYNTHETIC
2022-08-12,4125600,68068000,206800,508800,4125600,SYNTHETIC
2022-08-19,4130200,68068500,206850,509600,4130200,SYNTHETIC
2022-08-26,4134800,68069000,206900,510400,4134800,SYNTHETIC
2022-09-02,4139400,68069500,206950,511200,4139400,SYNTHETIC
2022-09-09,4144000,68070000,207000,512000,4144000,SYNTHETIC
2022-09-16,4148600,68070500,207050,512800,4148600,SYNTHETIC
2022-09-23,4153200,68071000,207100,513600,4153200,SYNTHETIC
2022-09-30,4157800,68071500,207150,514400,4157800,SYNTHETIC
2022-10-07,4162400,68072000,207200,515200,4162400,SYNTHETIC
2022-10-14,4167000,68072500,207250,516000,4167000,SYNTHETIC
2022-10-21,4171600,68073000,207300,516800,4171600,SYNTHETIC
2022-10-28,4176200,68073500,207350,517600,4176200,SYNTHETIC
2022-11-04,4180800,68074000,207400,518400,4180800,SYNTHETIC
2022-11-11,4185400,68074500,207450,519200,4185400,SYNTHETIC
2022-11-18,4190000,68075000,207500,520000,4190000,SYNTHETIC
2022-11-25,4194600,68075500,207550,520800,4194600,SYNTHETIC
2022-12-02,4199200,68076000,207600,521600,4199200,SYNTHETIC
2022-12-09,4203800,68076500,207650,522400,4203800,SYNTHETIC
2022-12-16,4208400,68077000,207700,523200,4208400,SYNTHETIC
2022-12-23,4213000,68077500,207750,524000,4213000,SYNTHETIC
2022-12-30,4217600,68078000,207800,524800,4217600,SYNTHETIC
2023-01-06,4222200,68078500,207850,525600,4222200,SYNTHETIC
2023-01-13,4226800,68079000,207900,526400,4226800,SYNTHETIC
2023-01-20,4231400,68079500,207950,527200,4231400,SYNTHETIC
2023-01-27,4236000,68080000,208000,528000,4236000,SYNTHETIC
2023-02-03,4240600,68080500,208050,528800,4240600,SYNTHETIC
2023-02-10,4245200,68081000,208100,529600,4245200,SYNTHETIC
2023-02-17,4249800,68081500,208150,530400,4249800,SYNTHETIC
2023-02-24,4254400,68082000,208200,531200,4254400,SYNTHETIC
2023-03-03,4259000,68082500,208250,532000,4259000,SYNTHETIC
2023-03-10,4263600,68083000,208300,532800,4263600,SYNTHETIC
2023-03-17,4268200,68083500,208350,533600,4268200,SYNTHETIC
2023-03-24,4272800,68084000,208400,534400,4272800,SYNTHETIC
2023-03-31,4277400,68084500,208450,535200,4277400,SYNTHETIC
2023-04-07,4282000,68085000,208500,536000,4282000,SYNTHETIC
2023-04-14,4286600,68085500,208550,536800,4286600,SYNTHETIC
2023-04-21,4291200,68086000,208600,537600,4291200,SYNTHETIC
2023-04-28,4295800,68086500,208650,538400,4295800,SYNTHETIC
2023-05-05,4300400,68087000,208700,539200,4300400,SYNTHETIC
2023-05-12,4305000,68087500,208750,540000,4305000,SYNTHETIC
2023-05-19,4309600,68088000,208800,540800,4309600,SYNTHETIC
2023-05-26,4314200,68088500,208850,541600,4314200,SYNTHETIC
2023-06-02,4318800,68089000,208900,542400,4318800,SYNTHETIC
2023-06-09,4323400,68089500,208950,543200,4323400,SYNTHETIC
2023-06-16,4328000,68090000,209000,544000,4328000,SYNTHETIC
2023-06-23,4332600,68090500,209050,544800,4332600,SYNTHETIC
2023-06-30,4337200,68091000,209100,545600,4337200,SYNTHETIC
2023-07-07,4341800,68091500,209150,546400,4341800,SYNTHETIC
2023-07-14,4346400,68092000,209200,547200,4346400,SYNTHETIC
2023-07-21,4351000,68092500,209250,548000,4351000,SYNTHETIC
2023-07-28,4355600,68093000,209300,548800,4355600,SYNTHETIC
2023-08-04,4360200,68093500,209350,549600,4360200,SYNTHETIC
2023-08-11,4364800,68094000,209400,550400,4364800,SYNTHETIC
2023-08-18,4369400,68094500,209450,551200,4369400,SYNTHETIC
2023-08-25,4374000,68095000,209500,552000,4374000,SYNTHETIC
2023-09-01,4378600,68095500,209550,552800,4378600,SYNTHETIC
2023-09-08,4383200,68096000,209600,553600,4383200,SYNTHETIC
2023-09-15,4387800,68096500,209650,554400,4387800,SYNTHETIC
2023-09-22,4392400,68097000,209700,555200,4392400,SYNTHETIC
2023-09-29,4397000,68097500,209750,556000,4397000,SYNTHETIC
2023-10-06,4401600,68098000,209800,556800,4401600,SYNTHETIC
2023-10-13,4406200,68098500,209850,557600,4406200,SYNTHETIC
2023-10-20,4410800,68099000,209900,558400,4410800,SYNTHETIC
2023-10-27,4415400,68099500,209950,559200,4415400,SYNTHETIC
2023-11-03,4420000,68100000,210000,560000,4420000,SYNTHETIC
2023-11-10,4424600,68100500,210050,560800,4424600,SYNTHETIC
2023-11-17,4429200,68101000,210100,561600,4429200,SYNTHETIC
2023-11-24,4433800,68101500,210150,562400,4433800,SYNTHETIC
2023-12-01,4438400,68102000,210200,563200,4438400,SYNTHETIC
2023-12-08,4443000,68102500,210250,564000,4443000,SYNTHETIC
2023-12-15,4447600,68103000,210300,564800,4447600,SYNTHETIC
2023-12-22,4452200,68103500,210350,565600,4452200,SYNTHETIC
2023-12-29,4456800,68104000,210400,566400,4456800,SYNTHETIC
2024-01-05,4461400,68104500,210450,567200,4461400,SYNTHETIC
2024-01-12,4466000,68105000,210500,568000,4466000,SYNTHETIC
2024-01-19,4470600,68105500,210550,568800,4470600,SYNTHETIC
2024-01-26,4475200,68106000,210600,569600,4475200,SYNTHETIC
2024-02-02,4479800,68106500,210650,570400,4479800,SYNTHETIC
2024-02-09,4484400,68107000,210700,571200,4484400,SYNTHETIC
2024-02-16,4489000,68107500,210750,572000,4489000,SYNTHETIC
2024-02-23,4493600,68108000,210800,572800,4493600,SYNTHETIC
2024-03-01,4498200,68108500,210850,573600,4498200,SYNTHETIC
2024-03-08,4502800,68109000,210900,574400,4502800,SYNTHETIC
2024-03-15,4507400,68109500,210950,575200,4507400,SYNTHETIC
2024-03-22,4512000,68110000,211000,576000,4512000,SYNTHETIC
2024-03-29,4516600,68110500,211050,576800,4516600,SYNTHETIC
2024-04-05,4521200,68111000,211100,577600,4521200,SYNTHETIC
2024-04-12,4525800,68111500,211150,578400,4525800,SYNTHETIC
2024-04-19,4530400,68112000,211200,579200,4530400,SYNTHETIC
2024-04-26,4535000,68112500,211250,580000,4535000,SYNTHETIC
2024-05-03,4539600,68113000,211300,580800,4539600,SYNTHETIC
2024-05-10,4544200,68113500,211350,581600,4544200,SYNTHETIC
2024-05-17,4548800,68114000,211400,582400,4548800,SYNTHETIC
2024-05-24,4553400,68114500,211450,583200,4553400,SYNTHETIC
2024-05-31,4558000,68115000,211500,584000,4558000,SYNTHETIC
2024-06-07,4562600,68115500,211550,584800,4562600,SYNTHETIC
2024-06-14,4567200,68116000,211600,585600,4567200,SYNTHETIC
2024-06-21,4571800,68116500,211650,586400,4571800,SYNTHETIC
2024-06-28,4576400,68117000,211700,587200,4576400,SYNTHETIC
2024-07-05,4581000,68117500,211750,588000,4581000,SYNTHETIC
2024-07-12,4585600,68118000,211800,588800,4585600,SYNTHETIC
2024-07-19,4590200,68118500,211850,589600,4590200,SYNTHETIC
2024-07-26,4594800,68119000,211900,590400,4594800,SYNTHETIC
2024-08-02,4599400,68119500,211950,591200,4599400,SYNTHETIC
2024-08-09,4604000,68120000,212000,592000,4604000,SYNTHETIC
2024-08-16,4608600,68120500,212050,592800,4608600,SYNTHETIC
2024-08-23,4613200,68121000,212100,593600,4613200,SYNTHETIC
2024-08-30,4617800,68121500,212150,594400,4617800,SYNTHETIC
2024-09-06,4622400,68122000,212200,595200,4622400,SYNTHETIC
2024-09-13,4627000,68122500,212250,596000,4627000,SYNTHETIC
2024-09-20,4631600,68123000,212300,596800,4631600,SYNTHETIC
2024-09-27,4636200,68123500,212350,597600,4636200,SYNTHETIC
2024-10-04,4640800,68124000,212400,598400,4640800,SYNTHETIC
2024-10-11,4645400,68124500,212450,599200,4645400,SYNTHETIC
2024-10-18,4650000,68125000,212500,600000,4650000,SYNTHETIC
2024-10-25,4654600,68125500,212550,600800,4654600,SYNTHETIC
2024-11-01,4659200,68126000,212600,601600,4659200,SYNTHETIC
2024-11-08,4663800,68126500,212650,602400,4663800,SYNTHETIC
2024-11-15,4668400,68127000,212700,603200,4668400,SYNTHETIC
2024-11-22,4673000,68127500,212750,604000,4673000,SYNTHETIC
2024-11-29,4677600,68128000,212800,604800,4677600,SYNTHETIC
2024-12-06,4682200,68128500,212850,605600,4682200,SYNTHETIC
2024-12-13,4686800,68129000,212900,606400,4686800,SYNTHETIC
2024-12-20,4691400,68129500,212950,607200,4691400,SYNTHETIC
2024-12-27,4696000,68130000,213000,608000,4696000,SYNTHETIC
2025-01-03,4700600,68130500,213050,608800,4700600,SYNTHETIC
2025-01-10,4705200,68131000,213100,609600,4705200,SYNTHETIC
2025-01-17,4709800,68131500,213150,610400,4709800,SYNTHETIC
2025-01-24,4714400,68132000,213200,611200,4714400,SYNTHETIC
2025-01-31,4719000,68132500,213250,612000,4719000,SYNTHETIC
2025-02-07,4723600,68133000,213300,612800,4723600,SYNTHETIC
2025-02-14,4728200,68133500,213350,613600,4728200,SYNTHETIC
2025-02-21,4732800,68134000,213400,614400,4732800,SYNTHETIC
2025-02-28,4737400,68134500,213450,615200,4737400,SYNTHETIC
2025-03-07,4742000,68135000,213500,616000,4742000,SYNTHETIC
2025-03-14,4746600,68135500,213550,616800,4746600,SYNTHETIC
2025-03-21,4751200,68136000,213600,617600,4751200,SYNTHETIC
2025-03-28,4755800,68136500,213650,618400,4755800,SYNTHETIC
2025-04-04,4760400,68137000,213700,619200,4760400,SYNTHETIC
2025-04-11,4765000,68137500,213750,620000,4765000,SYNTHETIC
2025-04-18,4769600,68138000,213800,620800,4769600,SYNTHETIC
2025-04-25,4774200,68138500,213850,621600,4774200,SYNTHETIC
2025-05-02,4778800,68139000,213900,622400,4778800,SYNTHETIC
2025-05-09,4783400,68139500,213950,623200,4783400,SYNTHETIC
2025-05-16,4788000,68140000,214000,624000,4788000,SYNTHETIC
2025-05-23,4792600,68140500,214050,624800,4792600,SYNTHETIC
2025-05-30,4797200,68141000,214100,625600,4797200,SYNTHETIC
2025-06-06,4801800,68141500,214150,626400,4801800,SYNTHETIC
2025-06-13,4806400,68142000,214200,627200,4806400,SYNTHETIC
2025-06-20,4811000,68142500,214250,628000,4811000,SYNTHETIC
2025-06-27,4815600,68143000,214300,628800,4815600,SYNTHETIC
2025-07-04,4820200,68143500,214350,629600,4820200,SYNTHETIC
2025-07-11,4824800,68144000,214400,630400,4824800,SYNTHETIC
2025-07-18,4829400,68144500,214450,631200,4829400,SYNTHETIC
2025-07-25,4834000,68145000,214500,632000,4834000,SYNTHETIC
2025-08-01,4838600,68145500,214550,632800,4838600,SYNTHETIC
2025-08-08,4843200,68146000,214600,633600,4843200,SYNTHETIC
2025-08-15,4847800,68146500,214650,634400,4847800,SYNTHETIC
2025-08-22,4852400,68147000,214700,635200,4852400,SYNTHETIC
2025-08-29,4857000,68147500,214750,636000,4857000,SYNTHETIC
2025-09-05,4861600,68148000,214800,636800,4861600,SYNTHETIC
2025-09-12,4866200,68148500,214850,637600,4866200,SYNTHETIC
2025-09-19,4870800,68149000,214900,638400,4870800,SYNTHETIC
2025-09-26,4875400,68149500,214950,639200,4875400,SYNTHETIC
2025-10-03,4880000,68150000,215000,640000,4880000,SYNTHETIC
2025-10-10,4884600,68150500,215050,640800,4884600,SYNTHETIC
2025-10-17,4889200,68151000,215100,641600,4889200,SYNTHETIC
2025-10-24,4893800,68151500,215150,642400,4893800,SYNTHETIC
2025-10-31,4898400,68152000,215200,643200,4898400,SYNTHETIC
2025-11-07,4903000,68152500,215250,644000,4903000,SYNTHETIC
2025-11-14,4907600,68153000,215300,644800,4907600,SYNTHETIC
2025-11-21,4912200,68153500,215350,645600,4912200,SYNTHETIC
2025-11-28,4916800,68154000,215400,646400,4916800,SYNTHETIC
2025-12-05,4921400,68154500,215450,647200,4921400,SYNTHETIC
2025-12-12,4926000,68155000,215500,648000,4926000,SYNTHETIC
2025-12-19,4930600,68155500,215550,648800,4930600,SYNTHETIC
2025-12-26,4935200,68156000,215600,649600,4935200,SYNTHETIC
2026-01-02,4939800,68156500,215650,650400,4939800,SYNTHETIC
2026-01-09,4944400,68157000,215700,651200,4944400,SYNTHETIC
2026-01-16,4949000,68157500,215750,652000,4949000,SYNTHETIC
2026-01-23,4953600,68158000,215800,652800,4953600,SYNTHETIC
2026-01-30,4958200,68158500,215850,653600,4958200,SYNTHETIC
2026-02-06,4962800,68159000,215900,654400,4962800,SYNTHETIC
2026-02-13,4967400,68159500,215950,655200,4967400,SYNTHETIC
2026-02-20,4972000,68160000,216000,656000,4972000,SYNTHETIC
2026-02-27,4976600,68160500,216050,656800,4976600,SYNTHETIC
2026-03-06,4981200,68161000,216100,657600,4981200,SYNTHETIC
2026-03-13,4985800,68161500,216150,658400,4985800,SYNTHETIC
2026-03-20,4990400,68162000,216200,659200,4990400,SYNTHETIC
2026-03-27,4995000,68162500,216250,660000,4995000,SYNTHETIC
2026-04-03,4999600,68163000,216300,660800,4999600,SYNTHETIC
2026-04-10,5004200,68163500,216350,661600,5004200,SYNTHETIC
2026-04-17,5008800,68164000,216400,662400,5008800,SYNTHETIC
2026-04-24,5013400,68164500,216450,663200,5013400,SYNTHETIC
